Company,Date,Total Assets,Total Liabilities,Common Equity - Total,Total Current Assets,Total Current Liabilities,Inventories - Total,Net Cash Flow from Operating Activities,Net Income after Tax,Income Available to Common Shares,Gross Profit Margin - %,Revenue from Business Activities - Total
LBE.HN,9/30/2023,32536315506,8961800038,23574515468,27674166864,8931800038,16128000576,10074202629,860330402,892428834,11.75329,41227499673
LBE.HN,12/31/2023,26381519953,2560303744,23821216209,21629346706,2530303744,14827740588,-10438176839,245650744,136133632,23.5254,5774112869
LBE.HN,3/31/2024,25091540287,1924750869,23166789418,11528082304,1894750869,0,-867615692,-804304948,-803555557,16.29864,2517125042
LBE.HN,6/30/2024,45980631783,22593407513,23335665384,41361075709,22563407513,28942347214,-3627024324,281075460,279516574,12.06073,23964480144
LBE.HN,9/30/2024,54797037411,29945062226,24796839853,50283540937,29915062226,20599627328,-1633784948,1464750915,1461174468,9.92758,49073921653
LBE.HN,12/31/2024,41696267912,15039768721,26604648655,36406026297,15009768721,19795015313,-5806571793,1804524006,1807808802,25.50285,17169544329
LBE.HN,3/31/2025,53107372252,20834500527,32221686341,43522880993,20804500527,24820968224,3619597087,5616372534,5617037687,65.01515,34287901211
SMN.HN,12/31/2021,1.42167E+11,68103200647,74063845351,1.10673E+11,68103200647,36159006792,9631619250,3331917568,357440608,25.88025,65171471981
SMN.HN,3/31/2022,2.53446E+11,1.79479E+11,73967005134,2.22198E+11,1.79479E+11,1.80017E+11,-63714392140,-96840217,-96840217,18.64204,20764101332
SMN.HN,6/30/2022,3.26202E+11,2.53789E+11,72412520184,2.95984E+11,2.53789E+11,1.16045E+11,54014636198,4977109192,3269015050,12.18534,2.51157E+11
SMN.HN,9/30/2022,1.6871E+11,92749820611,75960152277,1.37738E+11,92749820611,59750540663,3471526858,3547632093,3547632093,12.46782,1.63735E+11
SMN.HN,12/31/2022,1.08896E+11,31997979432,76897842815,77966588069,31997979432,24872586583,13468861307,3352864259,-770403604,32.02868,64626165641
SMN.HN,3/31/2023,1.34301E+11,57625836077,76675078026,1.03372E+11,57625836077,60579990662,-44434998862,-222764789,-222764789,23.56752,14439814001
SMN.HN,6/30/2023,2.4269E+11,1.6803E+11,74659658703,2.12471E+11,1.6803E+11,91429739094,8776210229,3972896925,2660350677,12.04367,1.86642E+11
SMN.HN,9/30/2023,1.74478E+11,95483402432,78994902660,1.4453E+11,95483402432,58351985621,21481717698,4335243957,4335243957,14.42082,1.96321E+11
SMN.HN,12/31/2023,97886358840,19351850722,78534508118,68187972186,19351850722,25917185731,9583299960,1454247449,-1884620790,29.00087,50441543709
SMN.HN,3/31/2024,93776626504,16430053660,77346572844,63615430591,16430053660,37368741644,-5597025742,-1187935274,-1187935274,26.59507,3962240126
SMN.HN,6/30/2024,2.28257E+11,1.52439E+11,75817710792,1.98222E+11,1.52439E+11,1.05986E+11,-46045651832,4462862466,3316637948,12.31484,2.26974E+11
SMN.HN,9/30/2024,1.79174E+11,97914731533,81259525560,1.49632E+11,97914731533,58201106829,51248491618,5441814768,5441814768,12.67182,1.95991E+11
SMN.HN,12/31/2024,1.01311E+11,21609262402,79702118234,72177986345,21609262402,38158371000,7552739235,534196680,-1557407326,32.91326,37156627880
SMN.HN,3/31/2025,99504631026,19749111199,79755519827,70356421920,19749111199,31484148713,-7907474125,53401593,53401593,22.08006,18718567776
FHS.HNO,3/31/2022,1.1149E+12,9.6421E+11,1.49171E+11,1.03288E+12,9.63841E+11,6.28951E+11,54634603546,4456253126,4704049828,24.20626,6.41923E+11
FHS.HNO,6/30/2022,1.4425E+12,1.28372E+12,1.56675E+11,1.36221E+12,1.28335E+12,8.19315E+11,1.17755E+11,8050667557,7979596743,22.30121,1.13503E+12
FHS.HNO,9/30/2022,1.64984E+12,1.46683E+12,1.80783E+11,1.56999E+12,1.46646E+12,7.47536E+11,1.35694E+11,18701926747,18758741231,22.5888,1.41388E+12
FHS.HNO,12/31/2022,1.29767E+12,1.12246E+12,1.73153E+11,1.22597E+12,1.12209E+12,6.97912E+11,-1.33688E+11,5377016315,5199038299,26.2158,7.32715E+11
FHS.HNO,3/31/2023,1.34752E+12,1.15696E+12,1.87742E+11,1.28002E+12,1.15659E+12,7.20606E+11,39019660519,15363560897,14941979251,31.13733,6.98397E+11
FHS.HNO,6/30/2023,1.62628E+12,1.44926E+12,1.74573E+11,1.55469E+12,1.44888E+12,9.46644E+11,-1511677423,7042608974,7399740029,24.56179,1.12783E+12
FHS.HNO,9/30/2023,1.74482E+12,1.56148E+12,1.80673E+11,1.67253E+12,1.5611E+12,8.26404E+11,1.18598E+11,15002366520,14786108175,23.99605,1.43163E+12
FHS.HNO,12/31/2023,1.41942E+12,1.21645E+12,2.00268E+11,1.33227E+12,1.21605E+12,6.97432E+11,-27069469287,19203292872,3482431006,19.64086,7.38871E+11
FHS.HNO,3/31/2024,1.38854E+12,1.17006E+12,2.15892E+11,1.31022E+12,1.1686E+12,7.35228E+11,-58440426669,15510561806,15432545145,31.39728,7.14633E+11
FHS.HNO,6/30/2024,1.70408E+12,1.50951E+12,1.91921E+11,1.625E+12,1.50775E+12,9.02214E+11,62957301792,7008835194,7039274281,23.61963,1.11317E+12
FHS.HNO,9/30/2024,1.8135E+12,1.61079E+12,2.00077E+11,1.73815E+12,1.6088E+12,8.48644E+11,1.18923E+11,16386486016,15850429601,23.44254,1.48595E+12
FHS.HNO,12/31/2024,1.49701E+12,1.27518E+12,2.18357E+11,1.42413E+12,1.27461E+12,8.09177E+11,-1.14143E+11,18779175773,18973419292,26.77488,7.79761E+11
FHS.HNO,3/31/2025,1.44071E+12,1.20309E+12,2.3428E+11,1.37525E+12,1.20252E+12,8.00766E+11,-46184113771,15795797541,15776306086,30.92866,7.717E+11
DGW.HM,12/31/2021,6.54482E+12,4.76354E+12,1.7792E+12,6.2555E+12,4.7533E+12,2.88811E+12,8.8551E+11,3.24178E+11,3.23997E+11,7.74604,7.87335E+12
